Sample,Predicted Label,Probability for Basic,Probability for Deluxe,Probability for King,Probability for Standard,Probability for Super Deluxe
87,King,0.01,0.08,0.64,0.27,0.0
88,King,0.01,0.08,0.64,0.27,0.0
89,King,0.01,0.08,0.64,0.27,0.0
90,King,0.01,0.08,0.64,0.27,0.0
91,Standard,0.02,0.17,0.03,0.78,0.0
92,Standard,0.02,0.17,0.03,0.78,0.0
93,King,0.01,0.08,0.64,0.27,0.0
94,Deluxe,0.09,0.69,0.02,0.2,0.0
95,Standard,0.02,0.17,0.03,0.78,0.0
96,King,0.01,0.08,0.64,0.27,0.0
97,King,0.01,0.08,0.64,0.27,0.0
98,King,0.01,0.08,0.64,0.27,0.0
99,King,0.01,0.08,0.64,0.27,0.0
100,Standard,0.02,0.17,0.03,0.78,0.0
101,Deluxe,0.09,0.69,0.02,0.2,0.0
102,Standard,0.02,0.17,0.03,0.78,0.0
103,King,0.01,0.08,0.64,0.27,0.0
104,King,0.01,0.08,0.64,0.27,0.0
105,Standard,0.02,0.17,0.03,0.78,0.0
106,Standard,0.02,0.17,0.03,0.78,0.0
107,King,0.01,0.08,0.64,0.27,0.0
108,Standard,0.02,0.17,0.03,0.78,0.0
109,King,0.01,0.08,0.64,0.27,0.0
110,King,0.01,0.08,0.64,0.27,0.0
111,Standard,0.02,0.17,0.03,0.78,0.0
112,King,0.01,0.08,0.64,0.27,0.0
113,King,0.01,0.08,0.64,0.27,0.0
114,King,0.01,0.08,0.64,0.27,0.0
115,King,0.01,0.08,0.64,0.27,0.0
116,Standard,0.02,0.17,0.03,0.78,0.0
117,King,0.01,0.08,0.64,0.27,0.0
118,Standard,0.02,0.17,0.03,0.78,0.0
119,King,0.01,0.08,0.64,0.27,0.0
120,Standard,0.02,0.17,0.03,0.78,0.0
121,Standard,0.02,0.17,0.03,0.78,0.0
122,Deluxe,0.09,0.69,0.02,0.2,0.0
123,Standard,0.02,0.17,0.03,0.78,0.0
124,Standard,0.02,0.17,0.03,0.78,0.0
125,King,0.01,0.08,0.64,0.27,0.0
126,King,0.01,0.08,0.64,0.27,0.0
127,King,0.01,0.08,0.64,0.27,0.0
128,King,0.01,0.08,0.64,0.27,0.0
129,King,0.01,0.08,0.64,0.27,0.0
130,King,0.01,0.08,0.64,0.27,0.0
131,King,0.01,0.08,0.64,0.27,0.0
132,Standard,0.02,0.17,0.03,0.78,0.0
133,King,0.01,0.08,0.64,0.27,0.0
134,Standard,0.02,0.17,0.03,0.78,0.0
135,Standard,0.02,0.17,0.03,0.78,0.0
136,Standard,0.02,0.17,0.03,0.78,0.0
137,Standard,0.02,0.17,0.03,0.78,0.0
138,King,0.01,0.08,0.64,0.27,0.0
139,Standard,0.02,0.17,0.03,0.78,0.0
140,King,0.01,0.08,0.64,0.27,0.0
141,Standard,0.02,0.17,0.03,0.78,0.0
142,King,0.01,0.08,0.64,0.27,0.0
143,King,0.01,0.08,0.64,0.27,0.0
144,Standard,0.02,0.17,0.03,0.78,0.0
145,Standard,0.02,0.17,0.03,0.78,0.0
146,Standard,0.02,0.17,0.03,0.78,0.0
147,King,0.01,0.08,0.64,0.27,0.0
148,King,0.01,0.08,0.64,0.27,0.0
149,Standard,0.02,0.17,0.03,0.78,0.0
150,Standard,0.02,0.17,0.03,0.78,0.0
151,King,0.01,0.08,0.64,0.27,0.0
152,Standard,0.02,0.17,0.03,0.78,0.0
153,Standard,0.02,0.17,0.03,0.78,0.0
154,Standard,0.02,0.17,0.03,0.78,0.0
155,Standard,0.02,0.17,0.03,0.78,0.0
156,King,0.01,0.08,0.64,0.27,0.0
157,Standard,0.02,0.17,0.03,0.78,0.0
158,King,0.01,0.08,0.64,0.27,0.0
159,King,0.01,0.08,0.64,0.27,0.0
160,King,0.01,0.08,0.64,0.27,0.0
161,Deluxe,0.09,0.69,0.02,0.2,0.0
162,King,0.01,0.08,0.64,0.27,0.0
163,Standard,0.02,0.17,0.03,0.78,0.0
164,Standard,0.02,0.17,0.03,0.78,0.0
165,Deluxe,0.09,0.69,0.02,0.2,0.0
166,Standard,0.02,0.17,0.03,0.78,0.0
167,King,0.01,0.08,0.64,0.27,0.0
168,King,0.01,0.08,0.64,0.27,0.0
169,King,0.01,0.08,0.64,0.27,0.0
170,King,0.01,0.08,0.64,0.27,0.0
171,King,0.01,0.08,0.64,0.27,0.0
172,King,0.01,0.08,0.64,0.27,0.0
173,Standard,0.02,0.17,0.03,0.78,0.0
174,King,0.01,0.08,0.64,0.27,0.0
175,Standard,0.02,0.17,0.03,0.78,0.0
176,Standard,0.02,0.17,0.03,0.78,0.0
177,King,0.01,0.08,0.64,0.27,0.0
178,King,0.01,0.08,0.64,0.27,0.0
179,King,0.01,0.08,0.64,0.27,0.0
180,King,0.01,0.08,0.64,0.27,0.0
181,King,0.01,0.08,0.64,0.27,0.0
182,King,0.01,0.08,0.64,0.27,0.0
183,King,0.01,0.08,0.64,0.27,0.0
184,King,0.01,0.08,0.64,0.27,0.0
185,King,0.01,0.08,0.64,0.27,0.0
186,Standard,0.02,0.17,0.03,0.78,0.0
187,King,0.01,0.08,0.64,0.27,0.0
188,King,0.01,0.08,0.64,0.27,0.0
189,King,0.01,0.08,0.64,0.27,0.0
190,Standard,0.02,0.17,0.03,0.78,0.0
191,Standard,0.02,0.17,0.03,0.78,0.0
192,King,0.01,0.08,0.64,0.27,0.0
193,King,0.01,0.08,0.64,0.27,0.0
194,Standard,0.02,0.17,0.03,0.78,0.0
195,King,0.01,0.08,0.64,0.27,0.0
196,Standard,0.02,0.17,0.03,0.78,0.0
197,King,0.01,0.08,0.64,0.27,0.0
198,Deluxe,0.09,0.69,0.02,0.2,0.0
199,King,0.01,0.08,0.64,0.27,0.0
200,Standard,0.02,0.17,0.03,0.78,0.0
201,Standard,0.02,0.17,0.03,0.78,0.0
202,King,0.01,0.08,0.64,0.27,0.0
203,King,0.01,0.08,0.64,0.27,0.0
204,King,0.01,0.08,0.64,0.27,0.0
205,King,0.01,0.08,0.64,0.27,0.0
206,King,0.01,0.08,0.64,0.27,0.0
207,Standard,0.02,0.17,0.03,0.78,0.0
208,King,0.01,0.08,0.64,0.27,0.0
209,Standard,0.02,0.17,0.03,0.78,0.0
210,King,0.01,0.08,0.64,0.27,0.0
211,King,0.01,0.08,0.64,0.27,0.0
212,Standard,0.02,0.17,0.03,0.78,0.0
213,King,0.01,0.08,0.64,0.27,0.0
214,King,0.01,0.08,0.64,0.27,0.0
215,King,0.01,0.08,0.64,0.27,0.0
216,Standard,0.02,0.17,0.03,0.78,0.0
217,King,0.01,0.08,0.64,0.27,0.0
218,Standard,0.02,0.17,0.03,0.78,0.0
219,Standard,0.02,0.17,0.03,0.78,0.0
220,King,0.01,0.08,0.64,0.27,0.0
221,King,0.01,0.08,0.64,0.27,0.0
222,Deluxe,0.09,0.69,0.02,0.2,0.0
223,King,0.01,0.08,0.64,0.27,0.0
224,King,0.01,0.08,0.64,0.27,0.0
225,King,0.01,0.08,0.64,0.27,0.0
226,Deluxe,0.09,0.69,0.02,0.2,0.0
227,Standard,0.02,0.17,0.03,0.78,0.0
228,King,0.01,0.08,0.64,0.27,0.0
229,Standard,0.02,0.17,0.03,0.78,0.0
230,King,0.01,0.08,0.64,0.27,0.0
231,Standard,0.02,0.17,0.03,0.78,0.0
232,King,0.01,0.08,0.64,0.27,0.0
233,King,0.01,0.08,0.64,0.27,0.0
234,King,0.01,0.08,0.64,0.27,0.0
235,King,0.01,0.08,0.64,0.27,0.0
236,King,0.01,0.08,0.64,0.27,0.0
237,Deluxe,0.09,0.69,0.02,0.2,0.0
238,King,0.01,0.08,0.64,0.27,0.0
239,King,0.01,0.08,0.64,0.27,0.0
240,King,0.01,0.08,0.64,0.27,0.0
241,King,0.01,0.08,0.64,0.27,0.0
242,Standard,0.02,0.17,0.03,0.78,0.0
243,King,0.01,0.08,0.64,0.27,0.0
244,Standard,0.02,0.17,0.03,0.78,0.0
245,King,0.01,0.08,0.64,0.27,0.0
246,King,0.01,0.08,0.64,0.27,0.0
247,Standard,0.02,0.17,0.03,0.78,0.0
248,Standard,0.02,0.17,0.03,0.78,0.0
249,Deluxe,0.09,0.69,0.02,0.2,0.0
250,King,0.01,0.08,0.64,0.27,0.0
251,Standard,0.02,0.17,0.03,0.78,0.0
252,King,0.01,0.08,0.64,0.27,0.0
253,Deluxe,0.09,0.69,0.02,0.2,0.0
254,Standard,0.02,0.17,0.03,0.78,0.0
255,King,0.01,0.08,0.64,0.27,0.0
256,King,0.01,0.08,0.64,0.27,0.0
257,King,0.01,0.08,0.64,0.27,0.0
258,King,0.01,0.08,0.64,0.27,0.0
259,King,0.01,0.08,0.64,0.27,0.0
260,King,0.01,0.08,0.64,0.27,0.0
261,King,0.01,0.08,0.64,0.27,0.0
262,Standard,0.02,0.17,0.03,0.78,0.0
263,King,0.01,0.08,0.64,0.27,0.0
264,King,0.01,0.08,0.64,0.27,0.0
265,Standard,0.02,0.17,0.03,0.78,0.0
266,King,0.01,0.08,0.64,0.27,0.0
267,Deluxe,0.09,0.69,0.02,0.2,0.0
268,Standard,0.02,0.17,0.03,0.78,0.0
269,Deluxe,0.09,0.69,0.02,0.2,0.0
270,Standard,0.02,0.17,0.03,0.78,0.0
271,King,0.01,0.08,0.64,0.27,0.0
272,King,0.01,0.08,0.64,0.27,0.0
273,King,0.01,0.08,0.64,0.27,0.0
274,King,0.01,0.08,0.64,0.27,0.0
275,King,0.01,0.08,0.64,0.27,0.0
276,King,0.01,0.08,0.64,0.27,0.0
277,King,0.01,0.08,0.64,0.27,0.0
278,King,0.01,0.08,0.64,0.27,0.0
279,King,0.01,0.08,0.64,0.27,0.0
280,King,0.01,0.08,0.64,0.27,0.0
281,King,0.01,0.08,0.64,0.27,0.0
282,King,0.01,0.08,0.64,0.27,0.0
283,King,0.01,0.08,0.64,0.27,0.0
284,King,0.01,0.08,0.64,0.27,0.0
285,King,0.01,0.08,0.64,0.27,0.0
286,Standard,0.02,0.17,0.03,0.78,0.0
287,King,0.01,0.08,0.64,0.27,0.0
288,King,0.01,0.08,0.64,0.27,0.0
289,King,0.01,0.08,0.64,0.27,0.0
290,King,0.01,0.08,0.64,0.27,0.0
291,King,0.01,0.08,0.64,0.27,0.0
292,King,0.01,0.08,0.64,0.27,0.0
293,King,0.01,0.08,0.64,0.27,0.0
294,Standard,0.02,0.17,0.03,0.78,0.0
295,King,0.01,0.08,0.64,0.27,0.0
296,King,0.01,0.08,0.64,0.27,0.0
297,Deluxe,0.09,0.69,0.02,0.2,0.0
298,King,0.01,0.08,0.64,0.27,0.0
299,Standard,0.02,0.17,0.03,0.78,0.0
300,Standard,0.02,0.17,0.03,0.78,0.0
301,King,0.01,0.08,0.64,0.27,0.0
302,King,0.01,0.08,0.64,0.27,0.0
303,King,0.01,0.08,0.64,0.27,0.0
304,King,0.01,0.08,0.64,0.27,0.0
305,King,0.01,0.08,0.64,0.27,0.0
306,King,0.01,0.08,0.64,0.27,0.0
307,King,0.01,0.08,0.64,0.27,0.0
308,King,0.01,0.08,0.64,0.27,0.0
309,Standard,0.02,0.17,0.03,0.78,0.0
310,Standard,0.02,0.17,0.03,0.78,0.0
311,Standard,0.02,0.17,0.03,0.78,0.0
312,King,0.01,0.08,0.64,0.27,0.0
313,King,0.01,0.08,0.64,0.27,0.0
314,Standard,0.02,0.17,0.03,0.78,0.0
315,Standard,0.02,0.17,0.03,0.78,0.0
316,King,0.01,0.08,0.64,0.27,0.0
317,Standard,0.02,0.17,0.03,0.78,0.0
318,King,0.01,0.08,0.64,0.27,0.0
319,King,0.01,0.08,0.64,0.27,0.0
320,King,0.01,0.08,0.64,0.27,0.0
321,Standard,0.02,0.17,0.03,0.78,0.0
322,Deluxe,0.09,0.69,0.02,0.2,0.0
323,King,0.01,0.08,0.64,0.27,0.0
324,Standard,0.02,0.17,0.03,0.78,0.0
325,Standard,0.02,0.17,0.03,0.78,0.0
326,King,0.01,0.08,0.64,0.27,0.0
327,Standard,0.02,0.17,0.03,0.78,0.0
328,King,0.01,0.08,0.64,0.27,0.0
329,Standard,0.02,0.17,0.03,0.78,0.0
330,King,0.01,0.08,0.64,0.27,0.0
331,Deluxe,0.09,0.69,0.02,0.2,0.0
332,King,0.01,0.08,0.64,0.27,0.0
333,King,0.01,0.08,0.64,0.27,0.0
334,King,0.01,0.08,0.64,0.27,0.0
335,King,0.01,0.08,0.64,0.27,0.0
336,Standard,0.02,0.17,0.03,0.78,0.0
337,King,0.01,0.08,0.64,0.27,0.0
338,King,0.01,0.08,0.64,0.27,0.0
339,King,0.01,0.08,0.64,0.27,0.0
340,Standard,0.02,0.17,0.03,0.78,0.0
341,King,0.01,0.08,0.64,0.27,0.0
342,Deluxe,0.09,0.69,0.02,0.2,0.0
343,King,0.01,0.08,0.64,0.27,0.0
344,King,0.01,0.08,0.64,0.27,0.0
345,King,0.01,0.08,0.64,0.27,0.0
346,King,0.01,0.08,0.64,0.27,0.0
347,Standard,0.02,0.17,0.03,0.78,0.0
348,Deluxe,0.09,0.69,0.02,0.2,0.0
349,King,0.01,0.08,0.64,0.27,0.0
350,King,0.01,0.08,0.64,0.27,0.0
351,King,0.01,0.08,0.64,0.27,0.0
352,King,0.01,0.08,0.64,0.27,0.0
353,King,0.01,0.08,0.64,0.27,0.0
354,Standard,0.02,0.17,0.03,0.78,0.0
355,King,0.01,0.08,0.64,0.27,0.0
356,Standard,0.02,0.17,0.03,0.78,0.0
357,Standard,0.02,0.17,0.03,0.78,0.0
358,King,0.01,0.08,0.64,0.27,0.0
359,King,0.01,0.08,0.64,0.27,0.0
360,Deluxe,0.09,0.69,0.02,0.2,0.0
361,Deluxe,0.09,0.69,0.02,0.2,0.0
362,Standard,0.02,0.17,0.03,0.78,0.0
363,King,0.01,0.08,0.64,0.27,0.0
364,King,0.01,0.08,0.64,0.27,0.0
365,Deluxe,0.09,0.69,0.02,0.2,0.0
366,Standard,0.02,0.17,0.03,0.78,0.0
367,King,0.01,0.08,0.64,0.27,0.0
368,Standard,0.02,0.17,0.03,0.78,0.0
369,King,0.01,0.08,0.64,0.27,0.0
370,King,0.01,0.08,0.64,0.27,0.0
371,Standard,0.02,0.17,0.03,0.78,0.0
372,King,0.01,0.08,0.64,0.27,0.0
373,Standard,0.02,0.17,0.03,0.78,0.0
374,King,0.01,0.08,0.64,0.27,0.0
375,King,0.01,0.08,0.64,0.27,0.0
376,Deluxe,0.09,0.69,0.02,0.2,0.0
377,King,0.01,0.08,0.64,0.27,0.0
378,King,0.01,0.08,0.64,0.27,0.0
379,Deluxe,0.09,0.69,0.02,0.2,0.0
380,Standard,0.02,0.17,0.03,0.78,0.0
381,King,0.01,0.08,0.64,0.27,0.0
382,King,0.01,0.08,0.64,0.27,0.0
383,King,0.01,0.08,0.64,0.27,0.0
384,King,0.01,0.08,0.64,0.27,0.0
385,Deluxe,0.09,0.69,0.02,0.2,0.0
386,King,0.01,0.08,0.64,0.27,0.0
387,King,0.01,0.08,0.64,0.27,0.0
388,King,0.01,0.08,0.64,0.27,0.0
389,King,0.01,0.08,0.64,0.27,0.0
390,King,0.01,0.08,0.64,0.27,0.0
391,King,0.01,0.08,0.64,0.27,0.0
392,King,0.01,0.08,0.64,0.27,0.0
393,King,0.01,0.08,0.64,0.27,0.0
394,Deluxe,0.09,0.69,0.02,0.2,0.0
395,King,0.01,0.08,0.64,0.27,0.0
396,King,0.01,0.08,0.64,0.27,0.0
397,Standard,0.02,0.17,0.03,0.78,0.0
398,King,0.01,0.08,0.64,0.27,0.0
399,King,0.01,0.08,0.64,0.27,0.0
400,King,0.01,0.08,0.64,0.27,0.0
401,Standard,0.02,0.17,0.03,0.78,0.0
402,King,0.01,0.08,0.64,0.27,0.0
403,Standard,0.02,0.17,0.03,0.78,0.0
404,King,0.01,0.08,0.64,0.27,0.0
405,Standard,0.02,0.17,0.03,0.78,0.0
406,Standard,0.02,0.17,0.03,0.78,0.0
407,King,0.01,0.08,0.64,0.27,0.0
408,King,0.01,0.08,0.64,0.27,0.0
409,Standard,0.02,0.17,0.03,0.78,0.0
410,King,0.01,0.08,0.64,0.27,0.0
411,Standard,0.02,0.17,0.03,0.78,0.0
412,King,0.01,0.08,0.64,0.27,0.0
413,Deluxe,0.09,0.69,0.02,0.2,0.0
414,Standard,0.02,0.17,0.03,0.78,0.0
415,King,0.01,0.08,0.64,0.27,0.0
416,Deluxe,0.09,0.69,0.02,0.2,0.0
417,King,0.01,0.08,0.64,0.27,0.0
418,Standard,0.02,0.17,0.03,0.78,0.0
419,Standard,0.02,0.17,0.03,0.78,0.0
420,King,0.01,0.08,0.64,0.27,0.0
421,Standard,0.02,0.17,0.03,0.78,0.0
422,King,0.01,0.08,0.64,0.27,0.0
423,King,0.01,0.08,0.64,0.27,0.0
424,Standard,0.02,0.17,0.03,0.78,0.0
425,King,0.01,0.08,0.64,0.27,0.0
426,Standard,0.02,0.17,0.03,0.78,0.0
427,Standard,0.02,0.17,0.03,0.78,0.0
428,King,0.01,0.08,0.64,0.27,0.0
429,King,0.01,0.08,0.64,0.27,0.0
430,King,0.01,0.08,0.64,0.27,0.0
431,King,0.01,0.08,0.64,0.27,0.0
432,King,0.01,0.08,0.64,0.27,0.0
433,King,0.01,0.08,0.64,0.27,0.0
434,Standard,0.02,0.17,0.03,0.78,0.0
435,Standard,0.02,0.17,0.03,0.78,0.0
436,Standard,0.02,0.17,0.03,0.78,0.0
437,King,0.01,0.08,0.64,0.27,0.0
438,King,0.01,0.08,0.64,0.27,0.0
439,Standard,0.02,0.17,0.03,0.78,0.0
440,King,0.01,0.08,0.64,0.27,0.0
441,King,0.01,0.08,0.64,0.27,0.0
442,Standard,0.02,0.17,0.03,0.78,0.0
443,Standard,0.02,0.17,0.03,0.78,0.0
444,King,0.01,0.08,0.64,0.27,0.0
445,King,0.01,0.08,0.64,0.27,0.0
446,King,0.01,0.08,0.64,0.27,0.0
447,King,0.01,0.08,0.64,0.27,0.0
448,King,0.01,0.08,0.64,0.27,0.0
449,King,0.01,0.08,0.64,0.27,0.0
450,King,0.01,0.08,0.64,0.27,0.0
451,King,0.01,0.08,0.64,0.27,0.0
452,Deluxe,0.09,0.69,0.02,0.2,0.0
453,King,0.01,0.08,0.64,0.27,0.0
454,King,0.01,0.08,0.64,0.27,0.0
455,King,0.01,0.08,0.64,0.27,0.0
456,King,0.01,0.08,0.64,0.27,0.0
457,Standard,0.02,0.17,0.03,0.78,0.0
458,King,0.01,0.08,0.64,0.27,0.0
459,King,0.01,0.08,0.64,0.27,0.0
460,Standard,0.02,0.17,0.03,0.78,0.0
461,Deluxe,0.09,0.69,0.02,0.2,0.0
462,King,0.01,0.08,0.64,0.27,0.0
463,Standard,0.02,0.17,0.03,0.78,0.0
464,King,0.01,0.08,0.64,0.27,0.0
465,King,0.01,0.08,0.64,0.27,0.0
466,Standard,0.02,0.17,0.03,0.78,0.0
467,King,0.01,0.08,0.64,0.27,0.0
468,Deluxe,0.09,0.69,0.02,0.2,0.0
469,Standard,0.02,0.17,0.03,0.78,0.0
470,King,0.01,0.08,0.64,0.27,0.0
471,Standard,0.02,0.17,0.03,0.78,0.0
472,King,0.01,0.08,0.64,0.27,0.0
473,King,0.01,0.08,0.64,0.27,0.0
474,King,0.01,0.08,0.64,0.27,0.0
475,Standard,0.02,0.17,0.03,0.78,0.0
476,King,0.01,0.08,0.64,0.27,0.0
477,Deluxe,0.09,0.69,0.02,0.2,0.0
478,King,0.01,0.08,0.64,0.27,0.0
479,King,0.01,0.08,0.64,0.27,0.0
480,Standard,0.02,0.17,0.03,0.78,0.0
481,King,0.01,0.08,0.64,0.27,0.0
482,King,0.01,0.08,0.64,0.27,0.0
483,Standard,0.02,0.17,0.03,0.78,0.0
484,Standard,0.02,0.17,0.03,0.78,0.0
485,King,0.01,0.08,0.64,0.27,0.0
486,Standard,0.02,0.17,0.03,0.78,0.0
487,King,0.01,0.08,0.64,0.27,0.0
488,King,0.01,0.08,0.64,0.27,0.0
489,Standard,0.02,0.17,0.03,0.78,0.0
490,King,0.01,0.08,0.64,0.27,0.0
491,Standard,0.02,0.17,0.03,0.78,0.0
492,Standard,0.02,0.17,0.03,0.78,0.0
493,Standard,0.02,0.17,0.03,0.78,0.0
494,King,0.01,0.08,0.64,0.27,0.0
495,King,0.01,0.08,0.64,0.27,0.0
496,King,0.01,0.08,0.64,0.27,0.0
497,Standard,0.02,0.17,0.03,0.78,0.0
498,King,0.01,0.08,0.64,0.27,0.0
499,Deluxe,0.09,0.69,0.02,0.2,0.0
500,King,0.01,0.08,0.64,0.27,0.0
501,Deluxe,0.09,0.69,0.02,0.2,0.0
502,King,0.01,0.08,0.64,0.27,0.0
503,Standard,0.02,0.17,0.03,0.78,0.0
504,Standard,0.02,0.17,0.03,0.78,0.0
505,King,0.01,0.08,0.64,0.27,0.0
506,Standard,0.02,0.17,0.03,0.78,0.0
507,King,0.01,0.08,0.64,0.27,0.0
508,King,0.01,0.08,0.64,0.27,0.0
509,King,0.01,0.08,0.64,0.27,0.0
510,Standard,0.02,0.17,0.03,0.78,0.0
511,King,0.01,0.08,0.64,0.27,0.0
512,King,0.01,0.08,0.64,0.27,0.0
513,Standard,0.02,0.17,0.03,0.78,0.0
514,Deluxe,0.09,0.69,0.02,0.2,0.0
515,King,0.01,0.08,0.64,0.27,0.0
516,King,0.01,0.08,0.64,0.27,0.0
517,King,0.01,0.08,0.64,0.27,0.0
518,Standard,0.02,0.17,0.03,0.78,0.0
519,Standard,0.02,0.17,0.03,0.78,0.0
520,Deluxe,0.09,0.69,0.02,0.2,0.0
521,King,0.01,0.08,0.64,0.27,0.0
522,Standard,0.02,0.17,0.03,0.78,0.0
523,King,0.01,0.08,0.64,0.27,0.0
524,Standard,0.02,0.17,0.03,0.78,0.0
525,King,0.01,0.08,0.64,0.27,0.0
526,King,0.01,0.08,0.64,0.27,0.0
527,Standard,0.02,0.17,0.03,0.78,0.0
528,King,0.01,0.08,0.64,0.27,0.0
529,King,0.01,0.08,0.64,0.27,0.0
530,King,0.01,0.08,0.64,0.27,0.0
531,Deluxe,0.09,0.69,0.02,0.2,0.0
532,King,0.01,0.08,0.64,0.27,0.0
533,Standard,0.02,0.17,0.03,0.78,0.0
534,King,0.01,0.08,0.64,0.27,0.0
535,Standard,0.02,0.17,0.03,0.78,0.0
536,Standard,0.02,0.17,0.03,0.78,0.0
537,Standard,0.02,0.17,0.03,0.78,0.0
538,King,0.01,0.08,0.64,0.27,0.0
539,King,0.01,0.08,0.64,0.27,0.0
540,Standard,0.02,0.17,0.03,0.78,0.0
541,King,0.01,0.08,0.64,0.27,0.0
542,Standard,0.02,0.17,0.03,0.78,0.0
543,Standard,0.02,0.17,0.03,0.78,0.0
544,King,0.01,0.08,0.64,0.27,0.0
545,Standard,0.02,0.17,0.03,0.78,0.0
546,King,0.01,0.08,0.64,0.27,0.0
547,Standard,0.02,0.17,0.03,0.78,0.0
548,Deluxe,0.09,0.69,0.02,0.2,0.0
549,King,0.01,0.08,0.64,0.27,0.0
550,Standard,0.02,0.17,0.03,0.78,0.0
551,Deluxe,0.09,0.69,0.02,0.2,0.0
552,King,0.01,0.08,0.64,0.27,0.0
553,King,0.01,0.08,0.64,0.27,0.0
554,King,0.01,0.08,0.64,0.27,0.0
555,Deluxe,0.09,0.69,0.02,0.2,0.0
556,King,0.01,0.08,0.64,0.27,0.0
